Name,Type,Rarity,Number,Quantity
Asajj Ventress - I Work Alone,Normal,Rare,001/262,
Asajj Ventress - I Work Alone,Hyperspace,Rare,263,
Asajj Ventress - I Work Alone,Showcase,Rare,997,
Grand Admiral Thrawn - ...How Unfortunate,Normal,Common,002/262,
Grand Admiral Thrawn - ...How Unfortunate,Hyperspace,Common,264,
Grand Admiral Thrawn - ...How Unfortunate,Showcase,Common,998,
Lando Calrissian - Buying Time,Normal,Rare,003/262,
Lando Calrissian - Buying Time,Hyperspace,Rare,265,
Lando Calrissian - Buying Time,Showcase,Rare,999,
Rose Tico - Saving What We Love,Normal,Common,004/262,
Rose Tico - Saving What We Love,Hyperspace,Common,266,
Rose Tico - Saving What We Love,Showcase,Common,1000,
Admiral Piett - Commanding the Armada,Normal,Rare,005/262,
Admiral Piett - Commanding the Armada,Hyperspace,Rare,267,
Admiral Piett - Commanding the Armada,Showcase,Rare,1001,
Darth Vader - Victor Squadron Leader,Normal,Common,006/262,
Darth Vader - Victor Squadron Leader,Hyperspace,Common,268,
Darth Vader - Victor Squadron Leader,Showcase,Common,1002,
Admiral Holdo - We're Not Alone,Normal,Rare,007/262,
Admiral Holdo - We're Not Alone,Hyperspace,Rare,269,
Admiral Holdo - We're Not Alone,Showcase,Rare,1003,
Wedge Antilles - Leader of Red Squadron,Normal,Common,008/262,
Wedge Antilles - Leader of Red Squadron,Hyperspace,Common,270,
Wedge Antilles - Leader of Red Squadron,Showcase,Common,1004,
Boba Fett - Any Methods Necessary,Normal,Special,009/262,
Boba Fett - Any Methods Necessary,Hyperspace,Special,271,
Boba Fett - Any Methods Necessary,Showcase,Special,1005,
Captain Phasma - Chrome Dome,Normal,Rare,010/262,
Captain Phasma - Chrome Dome,Hyperspace,Rare,272,
Captain Phasma - Chrome Dome,Showcase,Rare,1006,
Major Vonreg - Red Baron,Normal,Common,011/262,
Major Vonreg - Red Baron,Hyperspace,Common,273,
Major Vonreg - Red Baron,Showcase,Common,1007,
Luke Skywalker - Hero of Yavin,Normal,Common,012/262,
Luke Skywalker - Hero of Yavin,Hyperspace,Common,274,
Luke Skywalker - Hero of Yavin,Showcase,Common,1008,
Poe Dameron - I Can Fly Anything,Normal,Rare,013/262,
Poe Dameron - I Can Fly Anything,Hyperspace,Rare,275,
Poe Dameron - I Can Fly Anything,Showcase,Rare,1009,
Admiral Trench - Chk-chk-chk-chk,Normal,Rare,014/262,
Admiral Trench - Chk-chk-chk-chk,Hyperspace,Rare,276,
Admiral Trench - Chk-chk-chk-chk,Showcase,Rare,1010,
Rio Durant - Wisecrack Wheelman,Hyperspace,Common,277,
Rio Durant - Wisecrack Wheelman,Showcase,Common,1011,
Rio Durant - Wisecracking Wheelman,Normal,Common,015/262,
Admiral Ackbar - It's A Trap!,Normal,Common,016/262,
Admiral Ackbar - It's A Trap!,Hyperspace,Common,278,
Admiral Ackbar - It's A Trap!,Showcase,Common,1012,
