Select all table rows,Image,Product Name,Printing,Condition,Rarity,Number,Market Price,"Add to CartWe’re dedicated to helping you save both time and money by finding you the lowest prices around, with priority given to Direct."
Select table row 1,,AT-DP Occupier,Normal,Condition:Near MintNear MintLightly Played,Common,163/262,$0.06,Quantity:1123456789Add To Cart
Select table row 2,,AT-DP Occupier (Foil),Foil,Condition:Near MintNear MintLightly Played,Common,661,$0.14,Quantity:1123456789Add To Cart
Select table row 3,,AT-DP Occupier (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,897,$0.27,Quantity:1123456789Add To Cart
Select table row 4,,AT-DP Occupier (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,425,$0.14,Quantity:1123456789Add To Cart
Select table row 5,,Academy Graduate,Normal,Condition:Near MintNear MintLightly Played,Common,058/262,$0.09,Quantity:1123456789Add To Cart
Select table row 6,,Academy Graduate (Foil),Foil,Near Mint,Common,556,$0.16,Quantity:1123456789Add To Cart
Select table row 7,,Academy Graduate (Hyperspace Foil),Foil,Near Mint,Common,792,$0.26,Quantity:1123456789Add To Cart
Select table row 8,,Academy Graduate (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,320,$0.19,Quantity:1123456789Add To Cart
Select table row 9,,Adept ARC-170,Normal,Condition:Near MintNear MintLightly Played,Common,114/262,$0.07,Quantity:1123456789Add To Cart
Select table row 10,,Adept ARC-170 (Foil),Foil,Near Mint,Common,612,$0.20,Quantity:1123456789Add To Cart
Select table row 11,,Adept ARC-170 (Hyperspace Foil),Foil,Near Mint,Common,848,$0.38,Quantity:1123456789Add To Cart
Select table row 12,,Adept ARC-170 (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,376,$0.18,Quantity:1123456789Add To Cart
Select table row 13,,Admiral Ackbar - It's A Trap!,Normal,Condition:Near MintNear MintLightly Played,Common,016/262,$0.05,Quantity:1123456789Add To Cart
Select table row 14,,Admiral Ackbar - It's A Trap! (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,278,$0.14,Quantity:1123456789Add To Cart
Select table row 15,,Admiral Ackbar - It's A Trap! (Showcase),Foil,Condition:Near MintNear MintLightly PlayedDamaged,Common,1012,$44.08,Quantity:1123456789Add To Cart
Select table row 16,,Admiral Holdo - We're Not Alone,Normal,Condition:Near MintNear MintLightly Played,Rare,007/262,$0.14,Quantity:1123456789Add To Cart
