Name,Type,Rarity,Number,Quantity
Kylo Ren - We're Not Done Yet,Normal,Rare,001/264,
Kylo Ren - We're Not Done Yet,Hyperspace,Rare,265,
Kylo Ren - We're Not Done Yet,Showcase,Rare,1005,
Mother Talzin - Power Through Magick,Normal,Common,002/264,
Mother Talzin - Power Through Magick,Hyperspace,Common,266,
Mother Talzin - Power Through Magick,Showcase,Common,1006,
Ahsoka Tano - Fighting For Peace,Normal,Common,003/264,
Ahsoka Tano - Fighting For Peace,Hyperspace,Common,267,
Ahsoka Tano - Fighting For Peace,Showcase,Common,1007,
Kanan Jarrus - Help Us Survive,Normal,Rare,004/264,
Kanan Jarrus - Help Us Survive,Hyperspace,Rare,268,
Kanan Jarrus - Help Us Survive,Showcase,Rare,1008,
Morgan Elsbeth - Following the Call,Normal,Rare,005/264,
Morgan Elsbeth - Following the Call,Hyperspace,Rare,269,
Morgan Elsbeth - Following the Call,Showcase,Rare,1009,
Supreme Leader Snoke - In the Seat of Power,Normal,Common,006/264,
Supreme Leader Snoke - In the Seat of Power,Hyperspace,Common,270,
Supreme Leader Snoke - In the Seat of Power,Showcase,Common,1010,
Avar Kriss - Marshal of Starlight,Normal,Rare,007/264,
Avar Kriss - Marshal of Starlight,Hyperspace,Rare,271,
Avar Kriss - Marshal of Starlight,Showcase,Rare,1011,
Obi-Wan Kenobi - Courage Makes Heroes,Normal,Common,008/264,
Obi-Wan Kenobi - Courage Makes Heroes,Hyperspace,Common,272,
Obi-Wan Kenobi - Courage Makes Heroes,Showcase,Common,1012,
Darth Maul - Sith Revealed,Normal,Special,009/264,
Darth Maul - Sith Revealed,Hyperspace,Special,273,
Darth Maul - Sith Revealed,Showcase,Special,1013,
Third Sister - Seething With Ambition,Normal,Common,010/264,
Third Sister - Seething With Ambition,Hyperspace,Common,274,
Third Sister - Seething With Ambition,Showcase,Common,1014,
Kit Fisto - Focused Jedi Master,Normal,Common,011/264,
Kit Fisto - Focused Jedi Master,Hyperspace,Rare,275,
Kit Fisto - Focused Jedi Master,Showcase,Common,1015,
Rey - Nobody,Normal,Rare,012/264,
Rey - Nobody,Hyperspace,Rare,276,
Rey - Nobody,Showcase,Rare,1016,
Barriss Offee - We Have Become Villains,Normal,Rare,013/264,
Barriss Offee - We Have Become Villains,Hyperspace,Rare,277,
Barriss Offee - We Have Become Villains,Showcase,Rare,1017,
Grand Inquisitor - Stories Travel Quickly,Normal,Common,014/264,
Grand Inquisitor - Stories Travel Quickly,Hyperspace,Common,278,
Grand Inquisitor - Stories Travel Quickly,Showcase,Common,1018,
Cal Kestis - I Can't Keep Hiding,Normal,Common,015/264,
Cal Kestis - I Can't Keep Hiding,Hyperspace,Common,279,
Cal Kestis - I Can't Keep Hiding,Showcase,Common,1019,
Qui-Gon Jinn - Student of the Living Force,Normal,Special,016/264,
Qui-Gon Jinn - Student of the Living Force,Hyperspace,Special,280,
Qui-Gon Jinn - Student of the Living Force,Showcase,Special,1020,
Darth Revan - Scourge of the Old Republic,Normal,Rare,017/264,
Darth Revan - Scourge of the Old Republic,Hyperspace,Rare,281,
Darth Revan - Scourge of the Old Republic,Showcase,Rare,1021,
Anakin Skywalker - Tempted by the Dark Side,Normal,Rare,018/264,
Anakin Skywalker - Tempted by the Dark Side,Hyperspace,Rare,282,
Anakin Skywalker - Tempted by the Dark Side,Showcase,Rare,1022,
Vergence Temple,Normal,Rare,019/264,
Vergence Temple,Hyperspace,Rare,283,
Vergence Temple,Foil,Rare,529,
Vergence Temple,Hyperspace Foil,Rare,767,
Nightsister Lair // Experience,Normal,Common,020/264,
Nightsister Lair // Experience,Hyperspace,Common,284,
Nightsister Lair // Force,Normal,Common,020/264,
Nightsister Lair // Force,Hyperspace,Common,284,
Nightsister Lair // Shield,Normal,Common,020/264,
Shadowed Undercity // Experience,Normal,Common,021/264,
Shadowed Undercity // Experience,Hyperspace,Common,285,
Shadowed Undercity // Force,Normal,Common,021/264,
Shadowed Undercity // Force,Hyperspace,Common,285,
Shadowed Undercity // Shield,Normal,Common,021/264,
Mystic Monastery,Normal,Rare,022/264,
Mystic Monastery,Hyperspace,Rare,286,
Mystic Monastery,Foil,Rare,530,
Mystic Monastery,Hyperspace Foil,Rare,768,
Jedi Temple // Experience,Normal,Common,023/264,
Jedi Temple // Experience,Hyperspace,Common,287,
Jedi Temple // Force,Normal,Common,023/264,
Jedi Temple // Force,Hyperspace,Common,287,
Jedi Temple // Shield,Normal,Common,023/264,
Jedi Temple // Shield,Hyperspace,Common,287,
Starlight Temple // Experience,Normal,Common,024/264,
Starlight Temple // Experience,Hyperspace,Common,288,
Starlight Temple // Force,Normal,Common,024/264,
Starlight Temple // Force,Hyperspace,Common,288,
Starlight Temple // Shield,Normal,Common,024/264,
Starlight Temple // Shield,Hyperspace,Common,288,
Temple of Destruction,Normal,Rare,025/264,
Temple of Destruction,Hyperspace,Rare,289,
Temple of Destruction,Foil,Rare,531,
Temple of Destruction,Hyperspace Foil,Rare,769,
Fortress Vader // Experience,Normal,Common,026/264,
Fortress Vader // Experience,Hyperspace,Common,290,
Fortress Vader // Force,Normal,Common,026/264,
Fortress Vader // Force,Hyperspace,Common,290,
Fortress Vader // Shield,Normal,Common,026/264,
Fortress Vader // Shield,Hyperspace,Common,290,
Strangled Cliffs // Experience,Normal,Common,027/264,
Strangled Cliffs // Experience,Hyperspace,Common,291,
Strangled Cliffs // Force,Normal,Common,027/264,
Strangled Cliffs // Force,Hyperspace,Common,291,
Strangled Cliffs // Shield,Normal,Common,027/264,
Tomb of Eilram,Normal,Rare,028/264,
Tomb of Eilram,Hyperspace,Rare,292,
Tomb of Eilram,Foil,Rare,532,
Tomb of Eilram,Hyperspace Foil,Rare,770,
Crystal Caves // Experience,Normal,Common,029/264,
Crystal Caves // Experience,Hyperspace,Common,293,
Crystal Caves // Force,Normal,Common,029/264,
Crystal Caves // Force,Hyperspace,Common,293,
Crystal Caves // Shield,Normal,Common,029/264,
Crystal Caves // Shield,Hyperspace,Common,293,
The Holy City // Experience,Normal,Common,030/264,
The Holy City // Experience,Hyperspace,Common,294,
The Holy City // Force,Normal,Common,030/264,
The Holy City // Force,Hyperspace,Common,294,
The Holy City // Shield,Normal,Common,030/264,
The Holy City // Shield,Hyperspace,Common,294,
Karis - We Don't Like Strangers,Normal,Uncommon,031/264,
Karis - We Don't Like Strangers,Hyperspace,Uncommon,295,
Karis - We Don't Like Strangers,Foil,Uncommon,533,
Karis - We Don't Like Strangers,Hyperspace Foil,Uncommon,771,
Karis - We Don't Like Strangers,Prestige,Uncommon,1029,
Karis - We Don't Like Strangers,Prestige Foil,Uncommon,1075,
Karis - We Don't Like Strangers,Serialized,Uncommon,1121,
Magistrate's Scout,Normal,Common,032/264,
Magistrate's Scout,Hyperspace,Common,296,
Magistrate's Scout,Foil,Common,534,
Magistrate's Scout,Hyperspace Foil,Common,772,
Nameless Terror,Normal,Uncommon,033/264,
Nameless Terror,Hyperspace,Uncommon,297,
Nameless Terror,Foil,Uncommon,535,
Nameless Terror,Hyperspace Foil,Uncommon,773,
Supremacy TIE/sf,Normal,Common,034/264,
