Select all table rows,Image,Product Name,Printing,Condition,Rarity,Number,Market Price,"Add to CartWe’re dedicated to helping you save both time and money by finding you the lowest prices around, with priority given to Direct."
Select table row 1,,A Precarious Predicament,Normal,Condition:Near MintNear MintLightly Played,Uncommon,222/264,$0.10,Quantity:1123456789Add To Cart
Select table row 2,,A Precarious Predicament (Foil),Foil,Near Mint,Uncommon,724,$0.12,Quantity:1123456789Add To Cart
Select table row 3,,A Precarious Predicament (Hyperspace Foil),Foil,Near Mint,Uncommon,962,$0.33,Quantity:1123456789Add To Cart
Select table row 4,,A Precarious Predicament (Hyperspace),Normal,Near Mint,Uncommon,486,$0.26,Quantity:1123456789Add To Cart
Select table row 5,,Acclamator Assault Ship,Normal,Condition:Near MintNear MintLightly Played,Uncommon,106/264,$0.09,Quantity:1123456789Add To Cart
Select table row 6,,Acclamator Assault Ship (Foil),Foil,Near Mint,Uncommon,608,$0.16,Quantity:1123456789Add To Cart
Select table row 7,,Acclamator Assault Ship (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,846,$0.29,Quantity:1123456789Add To Cart
Select table row 8,,Acclamator Assault Ship (Hyperspace),Normal,Near Mint,Uncommon,370,$0.21,Quantity:1123456789Add To Cart
Select table row 9,,Acolyte of the Beyond,Normal,Near Mint,Common,129/264,$0.07,Quantity:1123456789Add To Cart
Select table row 10,,Acolyte of the Beyond (Foil),Foil,Near Mint,Common,631,$0.23,Quantity:1123456789Add To Cart
Select table row 11,,Acolyte of the Beyond (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,869,$0.54,Quantity:1123456789Add To Cart
Select table row 12,,Acolyte of the Beyond (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,393,$0.25,Quantity:1123456789Add To Cart
Select table row 13,,Adept of Anger,Normal,Near Mint,Common,178/264,$0.05,Quantity:1123456789Add To Cart
Select table row 14,,Adept of Anger (Foil),Foil,Near Mint,Common,680,$0.14,Quantity:1123456789Add To Cart
Select table row 15,,Adept of Anger (Hyperspace Foil),Foil,Near Mint,Common,918,$0.22,Quantity:1123456789Add To Cart
Select table row 16,,Adept of Anger (Hyperspace),Normal,Near Mint,Common,442,$0.21,Quantity:1123456789Add To Cart
Select table row 17,,Adi Gallia - Stern and Focused,Normal,Condition:Near MintNear MintLightly PlayedDamaged,Rare,142/264,$1.15,Quantity:1123456789Add To Cart
Select table row 18,,Adi Gallia - Stern and Focused (Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,644,$3.25,Quantity:1123456789Add To Cart
Select table row 19,,Adi Gallia - Stern and Focused (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,882,$7.05,Quantity:1123456789Add To Cart
Select table row 20,,Adi Gallia - Stern and Focused (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,406,$4.32,Quantity:1123456789Add To Cart
Select table row 21,,Adi Gallia - Stern and Focused (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,1106,$13.84,Quantity:1123456789Add To Cart
Select table row 22,,Adi Gallia - Stern and Focused (Prestige),Normal,Condition:Near MintNear MintLightly Played,Rare,1060,$7.01,Quantity:1123456789Add To Cart
Select table row 23,,Ahsoka Tano - Fighting For Peace,Normal,Condition:Near MintNear MintLightly Played,Common,003/264,$0.05,Quantity:1123456789Add To Cart
Select table row 24,,Ahsoka Tano - Fighting For Peace (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,267,$0.15,Quantity:1123456789Add To Cart
Select table row 25,,Ahsoka Tano - Fighting For Peace (Showcase),Foil,Condition:Near MintNear MintLightly PlayedDamaged,Common,1007,$50.16,Quantity:1123456789Add To Cart
Select table row 26,,Always Two,Normal,Condition:Near MintNear MintLightly Played,Legendary,042/264,$3.08,Quantity:1123456789Add To Cart
Select table row 27,,Always Two (Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,544,$2.43,Quantity:1123456789Add To Cart
Select table row 28,,Always Two (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,782,$4.63,Quantity:1123456789Add To Cart
Select table row 29,,Always Two (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Legendary,306,$4.21,Quantity:1123456789Add To Cart
Select table row 30,,Anakin Skywalker - Champion of Mortis,Normal,Condition:Near MintNear MintLightly PlayedModerately PlayedDamaged,Legendary,070/264,$16.56,Quantity:1123456789Add To Cart
Select table row 31,,Anakin Skywalker - Champion of Mortis (Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,572,$14.16,Quantity:1123456789Add To Cart
Select table row 32,,Anakin Skywalker - Champion of Mortis (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,810,$40.00,Quantity:1123456789Add To Cart
Select table row 33,,Anakin Skywalker - Champion of Mortis (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Legendary,334,$16.90,Quantity:1123456789Add To Cart
Select table row 34,,Anakin Skywalker - Champion of Mortis (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,1113,$27.44,Quantity:1123456789Add To Cart
Select table row 35,,Anakin Skywalker - Champion of Mortis (Prestige),Normal,Condition:Near MintNear MintLightly Played,Legendary,1067,$24.21,Quantity:1123456789Add To Cart
Select table row 36,,Anakin Skywalker - Champion of Mortis (Serialized),Foil,Near Mint,Legendary,1159,$550.00,Quantity:1123456789Add To Cart
Select table row 37,,Anakin Skywalker - Force Prodigy,Normal,Condition:Near MintNear MintLightly Played,Special,190/264,$0.76,Quantity:1123456789Add To Cart
Select table row 38,,Anakin Skywalker - Force Prodigy (Foil),Foil,Condition:Near MintNear MintLightly Played,Special,692,$0.18,Quantity:1123456789Add To Cart
Select table row 39,,Anakin Skywalker - Force Prodigy (Hyperspace Foil),Foil,Near Mint,Special,930,$1.02,Quantity:1123456789Add To Cart
Select table row 40,,Anakin Skywalker - Force Prodigy (Hyperspace),Normal,Near Mint,Special,454,$0.50,Quantity:1123456789Add To Cart
Select table row 41,,Anakin Skywalker - Force Prodigy (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Special,1098,$3.47,Quantity:1123456789Add To Cart
Select table row 42,,Anakin Skywalker - Force Prodigy (Prestige),Normal,Condition:Near MintNear MintLightly PlayedModerately Played,Special,1052,$2.15,Quantity:1123456789Add To Cart
Select table row 43,,Anakin Skywalker - Force Prodigy (Serialized),Foil,Near Mint,Special,1144,$194.83,Quantity:1123456789Add To Cart
Select table row 44,,Anakin Skywalker - Tempted by the Dark Side,Normal,Condition:Near MintNear MintLightly Played,Rare,018/264,$0.18,Quantity:1123456789Add To Cart
Select table row 45,,Anakin Skywalker - Tempted by the Dark Side (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,282,$0.21,Quantity:1123456789Add To Cart
Select table row 46,,Anakin Skywalker - Tempted by the Dark Side (Showcase),Foil,Condition:Near MintNear MintLightly Played,Rare,1022,$89.00,Quantity:1123456789Add To Cart
Select table row 47,,Army of the Dead,Normal,Near Mint,Common,236/264,$0.04,Quantity:1123456789Add To Cart
Select table row 48,,Army of the Dead (Foil),Foil,Near Mint,Common,738,$0.05,Quantity:1123456789Add To Cart
Select table row 49,,Army of the Dead (Hyperspace Foil),Foil,Near Mint,Common,976,$0.21,Quantity:1123456789Add To Cart
Select table row 50,,Army of the Dead (Hyperspace),Normal,Near Mint,Common,500,$0.14,Quantity:1123456789Add To Cart
Select table row 51,,As I Have Foreseen,Normal,Condition:Near MintNear MintLightly Played,Rare,188/264,$0.37,Quantity:1123456789Add To Cart
Select table row 52,,As I Have Foreseen (Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,690,$0.37,Quantity:1123456789Add To Cart
Select table row 53,,As I Have Foreseen (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,928,$1.81,Quantity:1123456789Add To Cart
Select table row 54,,As I Have Foreseen (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,452,$0.93,Quantity:1123456789Add To Cart
Select table row 55,,Asajj Ventress - Harden Your Heart,Normal,Condition:Near MintNear MintLightly Played,Uncommon,165/264,$0.15,Quantity:1123456789Add To Cart
Select table row 56,,Asajj Ventress - Harden Your Heart (Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,667,$0.23,Quantity:1123456789Add To Cart
Select table row 57,,Asajj Ventress - Harden Your Heart (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,905,$1.39,Quantity:1123456789Add To Cart
Select table row 58,,Asajj Ventress - Harden Your Heart (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,429,$0.43,Quantity:1123456789Add To Cart
Select table row 59,,Ascension Cable,Normal,Condition:Near MintNear MintLightly Played,Common,215/264,$0.09,Quantity:1123456789Add To Cart
Select table row 60,,Ascension Cable (Foil),Foil,Near Mint,Common,717,$0.11,Quantity:1123456789Add To Cart
Select table row 61,,Ascension Cable (Hyperspace Foil),Foil,Near Mint,Common,955,$0.38,Quantity:1123456789Add To Cart
Select table row 62,,Ascension Cable (Hyperspace),Normal,Near Mint,Common,479,$0.18,Quantity:1123456789Add To Cart
Select table row 63,,Ataru Onslaught,Normal,Condition:Near MintNear MintLightly Played,Uncommon,174/264,$0.08,Quantity:1123456789Add To Cart
Select table row 64,,Ataru Onslaught (Foil),Foil,Near Mint,Uncommon,676,$0.15,Quantity:1123456789Add To Cart
Select table row 65,,Ataru Onslaught (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,914,$0.28,Quantity:1123456789Add To Cart
Select table row 66,,Ataru Onslaught (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,438,$0.26,Quantity:1123456789Add To Cart
Select table row 67,,Attuned Fyrnock,Normal,Condition:Near MintNear MintLightly Played,Common,143/264,$0.06,Quantity:1123456789Add To Cart
Select table row 68,,Attuned Fyrnock (Foil),Foil,Near Mint,Common,645,$0.13,Quantity:1123456789Add To Cart
Select table row 69,,Attuned Fyrnock (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,883,$0.26,Quantity:1123456789Add To Cart
Select table row 70,,Attuned Fyrnock (Hyperspace),Normal,Near Mint,Common,407,$0.17,Quantity:1123456789Add To Cart
Select table row 71,,Aurra Sing - Patient and Deadly,Normal,Condition:Near MintNear MintLightly Played,Uncommon,179/264,$0.23,Quantity:1123456789Add To Cart
