Name,Type,Rarity,Number,Quantity
Chancellor Palpatine - How Liberty Dies,Normal,Special,1/264,
Chancellor Palpatine - How Liberty Dies,Hyperspace,Special,265,
Chancellor Palpatine - How Liberty Dies,Showcase,Special,1021,
Jabba the Hutt - Wonderful Human Being,Normal,Common,2/264,
Jabba the Hutt - Wonderful Human Being,Hyperspace,Common,266,
Jabba the Hutt - Wonderful Human Being,Showcase,Common,1022,
Lama Su - We Modified Their Genetics,Normal,Rare,3/264,
Lama Su - We Modified Their Genetics,Hyperspace,Rare,267,
Lama Su - We Modified Their Genetics,Showcase,Rare,1023,
Leia Organa - Of A Secret Bloodline,Normal,Common,4/264,
Leia Organa - Of A Secret Bloodline,Hyperspace,Common,268,
Leia Organa - Of A Secret Bloodline,Showcase,Common,1024,
Satine Kryze - Standing on Principles,Normal,Rare,5/264,
Satine Kryze - Standing on Principles,Hyperspace,Rare,269,
Satine Kryze - Standing on Principles,Showcase,Rare,1025,
Colonel Yularen - This is Why We Plan,Normal,Common,6/264,
Colonel Yularen - This is Why We Plan,Hyperspace,Common,270,
Colonel Yularen - This is Why We Plan,Showcase,Common,1026,
Dryden Vos - I Never Ask Twice,Normal,Rare,7/262,
Dryden Vos - I Never Ask Twice,Hyperspace,Rare,271,
Dryden Vos - I Never Ask Twice,Showcase,Rare,1027,
Bail Organa - Doing Everything He Can,Normal,Rare,8/264,
Bail Organa - Doing Everything He Can,Hyperspace,Rare,272,
Bail Organa - Doing Everything He Can,Showcase,Rare,1028,
Mon Mothma - Forming a Coalition,Normal,Common,9/264,
Mon Mothma - Forming a Coalition,Hyperspace,Common,273,
Mon Mothma - Forming a Coalition,Showcase,Common,1029,
Dedra Meero - Not Wasting Time,Normal,Common,10/264,
Dedra Meero - Not Wasting Time,Hyperspace,Common,274,
Dedra Meero - Not Wasting Time,Showcase,Common,1030,
Governor Pryce - Tyrant of Lothal,Normal,Rare,11/264,
Governor Pryce - Tyrant of Lothal,Hyperspace,Rare,275,
Governor Pryce - Tyrant of Lothal,Showcase,Rare,1031,
Cassian Andor - Climb!,Normal,Rare,12/264,
Cassian Andor - Climb!,Hyperspace,Rare,276,
Cassian Andor - Climb!,Showcase,Rare,1032,
Luthen Rael - Don't You Want To Fight For Real?,Normal,Common,13/264,
Luthen Rael - Don't You Want To Fight For Real?,Hyperspace,Common,277,
Luthen Rael - Don't You Want To Fight For Real?,Showcase,Common,1033,
Sly Moore - Cipher in the Dark,Normal,Common,14/264,
Sly Moore - Cipher in the Dark,Hyperspace,Common,278,
Sly Moore - Cipher in the Dark,Showcase,Common,1034,
C-3PO - Human-Cyborg Relations,Normal,Common,15/264,
C-3PO - Human-Cyborg Relations,Hyperspace,Common,279,
C-3PO - Human-Cyborg Relations,Showcase,Common,1035,
Padme Amidala - What Do You Have to Hide?,Normal,Special,16/264,
Padme Amidala - What Do You Have to Hide?,Hyperspace,Special,280,
Padme Amidala - What Do You Have to Hide?,Showcase,Special,1036,
Sabe - Queen's Shadow,Normal,Special,17/264,
Sabe - Queen's Shadow,Hyperspace,Special,281,
Sabe - Queen's Shadow,Showcase,Special,1037,
DJ - Need a Lift?,Normal,Rare,18/264,
DJ - Need a Lift?,Hyperspace,Rare,282,
DJ - Need a Lift?,Showcase,Rare,1038,
Rix Road // Experience,Normal,Common,19/264,
Rix Road // Experience,Hyperspace,Common,283,
Rix Road // Spy,Normal,Common,19/264,
Rix Road // Spy,Hyperspace,Common,283,
Uscru Entertainment District // Experience,Normal,Common,20/264,
Uscru Entertainment District // Experience,Hyperspace,Common,284,
Uscru Entertainment District // Spy,Normal,Common,20/264,
Uscru Entertainment District // Spy,Hyperspace,Common,284,
Republic City // Experience,Normal,Common,21/264,
Republic City // Experience,Hyperspace,Common,285,
Republic City // Spy,Normal,Common,21/264,
Republic City // Spy,Hyperspace,Common,285,
Senate Rotunda // Experience,Normal,Common,22/264,
Senate Rotunda // Experience,Hyperspace,Common,286,
Senate Rotunda // Spy,Normal,Common,22/264,
Senate Rotunda // Spy,Hyperspace,Common,286,
Imperial Prison Complex // Experience,Normal,Common,23/264,
Imperial Prison Complex // Experience,Hyperspace,Common,287,
Imperial Prison Complex // Spy,Normal,Common,23/264,
Imperial Prison Complex // Spy,Hyperspace,Common,287,
Naval Intelligence HQ // Experience,Normal,Common,24/264,
Naval Intelligence HQ // Experience,Hyperspace,Common,288,
Naval Intelligence HQ // Spy,Normal,Common,24/264,
Naval Intelligence HQ // Spy,Hyperspace,Common,288,
Amnesty Housing // Experience,Normal,Common,25/264,
Amnesty Housing // Experience,Hyperspace,Common,289,
Amnesty Housing // Spy,Normal,Common,25/264,
Amnesty Housing // Spy,Hyperspace,Common,289,
Mount Tantiss // Experience,Normal,Common,26/264,
Mount Tantiss // Experience,Hyperspace,Common,290,
Mount Tantiss // Spy,Normal,Common,26/264,
Mount Tantiss // Spy,Hyperspace,Common,290,
The Chancellor's Shuttle - Grim Harbinger,Normal,Special,27/264,
The Chancellor's Shuttle - Grim Harbinger,Hyperspace,Special,291,
The Chancellor's Shuttle - Grim Harbinger,Foil,Special,537,
The Chancellor's Shuttle - Grim Harbinger,Hyperspace Foil,Special,783,
Trayus Acolyte,Normal,Common,28/264,
Trayus Acolyte,Hyperspace,Common,292,
Trayus Acolyte,Foil,Common,538,
Trayus Acolyte,Hyperspace Foil,Common,784,
Zam Wesell - Inconspicuous Assassin,Normal,Uncommon,29/264,
Zam Wesell - Inconspicuous Assassin,Hyperspace,Uncommon,293,
Zam Wesell - Inconspicuous Assassin,Foil,Uncommon,539,
Zam Wesell - Inconspicuous Assassin,Hyperspace Foil,Uncommon,785,
Zam Wesell - Inconspicuous Assassin,Prestige,Uncommon,1069,
Zam Wesell - Inconspicuous Assassin,Prestige Foil,Uncommon,1112,
Zam Wesell - Inconspicuous Assassin,Serialized,Uncommon,1155,
Death Trooper,Normal,Common,30/264,
Death Trooper,Hyperspace,Common,294,
Death Trooper,Foil,Common,540,
Death Trooper,Hyperspace Foil,Common,786,
Nute Gunray - Escaping Justice,Normal,Rare,31/264,
Nute Gunray - Escaping Justice,Hyperspace,Rare,295,
Nute Gunray - Escaping Justice,Foil,Rare,541,
