Select all table rows,Image,Product Name,Printing,Condition,Rarity,Number,Market Price,"Add to CartWe’re dedicated to helping you save both time and money by finding you the lowest prices around, with priority given to Direct."
Select table row 1,,A-Wing,Normal,Condition:Near MintNear MintLightly Played,Common,213/264,$0.13,Quantity:1123456789Add To Cart
Select table row 2,,A-Wing (Foil),Foil,Near Mint,Common,723,$0.19,Quantity:1123456789Add To Cart
Select table row 3,,A-Wing (Hyperspace Foil),Foil,Near Mint,Common,969,$0.52,Quantity:1123456789Add To Cart
Select table row 4,,A-Wing (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,477,$0.37,Quantity:1123456789Add To Cart
Select table row 5,,AAT Incinerator,Normal,Near Mint,Uncommon,169/264,$0.10,Quantity:1123456789Add To Cart
Select table row 6,,AAT Incinerator (Foil),Foil,Near Mint,Uncommon,679,$0.15,Quantity:1123456789Add To Cart
Select table row 7,,AAT Incinerator (Hyperspace Foil),Foil,Near Mint,Uncommon,925,$0.26,Quantity:1123456789Add To Cart
Select table row 8,,AAT Incinerator (Hyperspace),Normal,Near Mint,Uncommon,433,$0.26,Quantity:1123456789Add To Cart
Select table row 9,,ASP Laborer,Normal,Near Mint,Common,259/264,$0.07,Quantity:1123456789Add To Cart
Select table row 10,,ASP Laborer (Foil),Foil,Condition:Near MintNear MintLightly Played,Common,769,$0.11,Quantity:1123456789Add To Cart
Select table row 11,,ASP Laborer (Hyperspace Foil),Foil,Near Mint,Common,1015,$0.24,Quantity:1123456789Add To Cart
Select table row 12,,ASP Laborer (Hyperspace),Normal,Near Mint,Common,523,$0.23,Quantity:1123456789Add To Cart
Select table row 13,,Academy Disciplinarian,Normal,Condition:Near MintNear MintLightly Played,Common,165/264,$0.07,Quantity:1123456789Add To Cart
Select table row 14,,Academy Disciplinarian (Foil),Foil,Near Mint,Common,675,$0.16,Quantity:1123456789Add To Cart
Select table row 15,,Academy Disciplinarian (Hyperspace Foil),Foil,Near Mint,Common,921,$0.32,Quantity:1123456789Add To Cart
Select table row 16,,Academy Disciplinarian (Hyperspace),Normal,Near Mint,Common,429,$0.39,Quantity:1123456789Add To Cart
Select table row 17,,Accelerate Our Plans,Normal,Near Mint,Common,228/264,$0.09,Quantity:1123456789Add To Cart
Select table row 18,,Accelerate Our Plans (Foil),Foil,Near Mint,Common,738,$0.12,Quantity:1123456789Add To Cart
Select table row 19,,Accelerate Our Plans (Hyperspace Foil),Foil,Near Mint,Common,984,$0.27,Quantity:1123456789Add To Cart
Select table row 20,,Accelerate Our Plans (Hyperspace),Normal,Near Mint,Common,492,$0.25,Quantity:1123456789Add To Cart
Select table row 21,,Aggressive Negotiations,Normal,Condition:Near MintNear MintLightly Played,Uncommon,179/264,$0.48,Quantity:1123456789Add To Cart
Select table row 22,,Aggressive Negotiations (Foil),Foil,Near Mint,Uncommon,689,$0.25,Quantity:1123456789Add To Cart
Select table row 23,,Aggressive Negotiations (Hyperspace Foil),Foil,Near Mint,Uncommon,935,$1.38,Quantity:1123456789Add To Cart
Select table row 24,,Aggressive Negotiations (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,443,$1.24,Quantity:1123456789Add To Cart
Select table row 25,,Ahsoka Tano - I Learned It from You,Normal,Condition:Near MintNear MintLightly Played,Special,96/264,$0.60,Quantity:1123456789Add To Cart
Select table row 26,,Ahsoka Tano - I Learned It from You (Foil),Foil,Condition:Near MintNear MintLightly Played,Special,606,$0.38,Quantity:1123456789Add To Cart
Select table row 27,,Ahsoka Tano - I Learned It from You (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Special,852,$11.27,Quantity:1123456789Add To Cart
Select table row 28,,Ahsoka Tano - I Learned It from You (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Special,360,$1.95,Quantity:1123456789Add To Cart
Select table row 29,,Alderaanian Envoys,Normal,Near Mint,Common,66/264,$0.07,Quantity:1123456789Add To Cart
Select table row 30,,Alderaanian Envoys (Foil),Foil,Near Mint,Common,576,$0.10,Quantity:1123456789Add To Cart
Select table row 31,,Alderaanian Envoys (Hyperspace Foil),Foil,Near Mint,Common,822,$0.22,Quantity:1123456789Add To Cart
Select table row 32,,Alderaanian Envoys (Hyperspace),Normal,Near Mint,Common,330,$0.33,Quantity:1123456789Add To Cart
Select table row 33,,Alexsandr Kallus - With New Purpose,Normal,Condition:Near MintNear MintLightly Played,Rare,155/264,$0.41,Quantity:1123456789Add To Cart
Select table row 34,,Alexsandr Kallus - With New Purpose (Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,665,$0.38,Quantity:1123456789Add To Cart
Select table row 35,,Alexsandr Kallus - With New Purpose (Hyperspace Foil),Foil,Near Mint,Rare,911,$0.85,Quantity:1123456789Add To Cart
Select table row 36,,Alexsandr Kallus - With New Purpose (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,419,$0.83,Quantity:1123456789Add To Cart
Select table row 37,,Alexsandr Kallus - With New Purpose (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,1107,$2.15,Quantity:1123456789Add To Cart
Select table row 38,,Alexsandr Kallus - With New Purpose (Prestige),Normal,Condition:Near MintNear MintLightly Played,Rare,1064,$1.24,Quantity:1123456789Add To Cart
Select table row 39,,Ambition's Reward,Normal,Near Mint,Common,175/264,$0.07,Quantity:1123456789Add To Cart
Select table row 40,,Ambition's Reward (Foil),Foil,Near Mint,Common,685,$0.15,Quantity:1123456789Add To Cart
Select table row 41,,Ambition's Reward (Hyperspace Foil),Foil,Near Mint,Common,931,$0.32,Quantity:1123456789Add To Cart
Select table row 42,,Ambition's Reward (Hyperspace),Normal,Near Mint,Common,439,$0.25,Quantity:1123456789Add To Cart
Select table row 43,,Amnesty Housing // Experience,Normal,Near Mint,Common,25/264 // T02/T02,$0.04,Quantity:1123456789Add To Cart
Select table row 44,,Amnesty Housing // Experience (Hyperspace),Normal,Near Mint,Common,289 // T04/T04,$0.60,Quantity:1123456789Add To Cart
Select table row 45,,Amnesty Housing // Spy,Normal,Condition:Near MintNear MintLightly Played,Common,25/264 // T01/T02,$0.06,Quantity:1123456789Add To Cart
Select table row 46,,Amnesty Housing // Spy (Hyperspace),Normal,Near Mint,Common,289 // T03/T04,$0.21,Quantity:1123456789Add To Cart
Select table row 47,,Anakin Skywalker - Secret Husband,Normal,Condition:Near MintNear MintLightly Played,Special,201/264,$4.01,Quantity:1123456789Add To Cart
Select table row 48,,Anakin Skywalker - Secret Husband (Foil),Foil,Condition:Near MintNear MintLightly Played,Special,711,$0.47,Quantity:1123456789Add To Cart
Select table row 49,,Anakin Skywalker - Secret Husband (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Special,957,$3.68,Quantity:1123456789Add To Cart
Select table row 50,,Anakin Skywalker - Secret Husband (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Special,465,$2.42,Quantity:1123456789Add To Cart
Select table row 51,,Ando Commission,Normal,Condition:Near MintNear MintLightly Played,Common,262/264,$0.08,Quantity:1123456789Add To Cart
