Name,Type,Rarity,Number,Quantity
Gar Saxon - Viceroy of Mandalore,Normal,Common,001/262,
Gar Saxon - Viceroy of Mandalore,Hyperspace,Common,281,
Gar Saxon - Viceroy of Mandalore,Showcase,Common,263,
Qi'ra - I Alone Survived,Normal,Rare,002/262,
Qi'ra - I Alone Survived,Hyperspace,Rare,282,
Qi'ra - I Alone Survived,Showcase,Rare,264,
Finn - This is a Rescue,Normal,Rare,003/262,
Finn - This is a Rescue,Hyperspace,Rare,283,
Finn - This is a Rescue,Showcase,Rare,265,
Rey - More Than a Scavenger,Normal,Common,004/262,
Rey - More Than a Scavenger,Hyperspace,Common,284,
Rey - More Than a Scavenger,Showcase,Common,266,
Hondo Ohnaka - That's Good Business,Normal,Common,005/262,
Hondo Ohnaka - That's Good Business,Hyperspace,Common,285,
Hondo Ohnaka - That's Good Business,Showcase,Common,267,
Jabba the Hutt - His High Exaltedness,Normal,Rare,006/262,
Jabba the Hutt - His High Exaltedness,Hyperspace,Rare,286,
Jabba the Hutt - His High Exaltedness,Showcase,Rare,268,
Moff Gideon - Formidable Commander,Normal,Special,007/262,
Moff Gideon - Formidable Commander,Showcase,Special,269,
Boba Fett - Daimyo,Normal,Common,008/262,
Boba Fett - Daimyo,Hyperspace,Common,287,
Boba Fett - Daimyo,Showcase,Common,270,
Hunter - Outcast Sergeant,Normal,Rare,009/262,
Hunter - Outcast Sergeant,Hyperspace,Rare,288,
Hunter - Outcast Sergeant,Showcase,Rare,271,
Bossk - Hunting His Prey,Normal,Common,010/262,
Bossk - Hunting His Prey,Hyperspace,Common,289,
Bossk - Hunting His Prey,Showcase,Common,272,
Kylo Ren - Rash and Deadly,Normal,Rare,011/262,
Kylo Ren - Rash and Deadly,Hyperspace,Rare,290,
Kylo Ren - Rash and Deadly,Showcase,Rare,273,
Bo-Katan Kryze - Princess in Exile,Normal,Rare,012/262,
Bo-Katan Kryze - Princess in Exile,Hyperspace,Rare,291,
Bo-Katan Kryze - Princess in Exile,Showcase,Rare,274,
Han Solo - Worth the Risk,Normal,Common,013/262,
Han Solo - Worth the Risk,Hyperspace,Common,292,
Han Solo - Worth the Risk,Showcase,Common,275,
Cad Bane - He Who Needs No Introduction,Normal,Common,014/262,
Cad Bane - He Who Needs No Introduction,Hyperspace,Common,293,
Cad Bane - He Who Needs No Introduction,Showcase,Common,276,
Doctor Aphra - Rapacious Archaeologist,Normal,Rare,015/262,
Doctor Aphra - Rapacious Archaeologist,Hyperspace,Rare,294,
Doctor Aphra - Rapacious Archaeologist,Showcase,Rare,277,
Fennec Shand - Honoring the Deal,Normal,Common,016/262,
Fennec Shand - Honoring the Deal,Hyperspace,Common,295,
Fennec Shand - Honoring the Deal,Showcase,Common,278,
Lando Calrissian - With Impeccable Taste,Normal,Rare,017/262,
Lando Calrissian - With Impeccable Taste,Hyperspace,Rare,296,
Lando Calrissian - With Impeccable Taste,Showcase,Rare,279,
The Mandalorian - Sworn To The Creed,Normal,Special,018/262,
The Mandalorian - Sworn To The Creed,Showcase,Special,280,
Remnant Science Facility // Experience,Normal,Common,019/262,
Remnant Science Facility // Experience,Hyperspace,Common,297,
Remnant Science Facility // Shield,Normal,Common,019/262,
Remnant Science Facility // Shield,Hyperspace,Common,297,
Remote Village // Experience,Normal,Common,020/262,
Remote Village // Experience,Hyperspace,Common,298,
Remote Village // Shield,Normal,Common,020/262,
Remote Village // Shield,Hyperspace,Common,298,
Maz Kanata's Castle // Experience,Normal,Common,021/262,
Maz Kanata's Castle // Experience,Hyperspace,Common,299,
Maz Kanata's Castle // Shield,Normal,Common,021/262,
Maz Kanata's Castle // Shield,Hyperspace,Common,299,
Nevarro City // Experience,Normal,Common,022/262,
Nevarro City // Experience,Hyperspace,Common,300,
Nevarro City // Shield,Normal,Common,022/262,
Nevarro City // Shield,Hyperspace,Common,300,
Death Watch Hideout // Experience,Normal,Common,023/262,
Death Watch Hideout // Experience,Hyperspace,Common,301,
Death Watch Hideout // Shield,Normal,Common,023/262,
Death Watch Hideout // Shield,Hyperspace,Common,301,
Spice Mines // Experience,Normal,Common,024/262,
Spice Mines // Experience,Hyperspace,Common,302,
Spice Mines // Shield,Normal,Common,024/262,
Spice Mines // Shield,Hyperspace,Common,302,
Coronet City // Experience,Normal,Common,025/262,
Coronet City // Experience,Hyperspace,Common,303,
Coronet City // Shield,Normal,Common,025/262,
Coronet City // Shield,Hyperspace,Common,303,
Jabba's Palace // Experience,Normal,Common,026/262,
Jabba's Palace // Experience,Hyperspace,Common,304,
Jabba's Palace // Shield,Normal,Common,026/262,
Jabba's Palace // Shield,Hyperspace,Common,304,
Hylobon Enforcer,Normal,Common,027/262,
Hylobon Enforcer,Hyperspace,Common,305,
Hylobon Enforcer,Foil,Common,027/262,
Hylobon Enforcer,Hyperspace Foil,Common,305,
Doctor Pershing - Experimenting With Life,Normal,Rare,028/262,
Doctor Pershing - Experimenting With Life,Hyperspace,Rare,306,
Doctor Pershing - Experimenting With Life,Foil,Rare,028/262,
Doctor Pershing - Experimenting With Life,Hyperspace Foil,Rare,306,
Pyke Sentinel,Normal,Common,029/262,
Pyke Sentinel,Hyperspace,Common,307,
Pyke Sentinel,Foil,Common,029/262,
Pyke Sentinel,Hyperspace Foil,Common,307,
Death Trooper,Normal,Special,030/262,
The Client - Dictated by Discretion,Normal,Uncommon,031/262,
The Client - Dictated by Discretion,Hyperspace,Uncommon,308,
The Client - Dictated by Discretion,Foil,Uncommon,031/262,
The Client - Dictated by Discretion,Hyperspace Foil,Uncommon,308,
Lom Pyke - Dealer in Truths,Normal,Rare,032/262,
Lom Pyke - Dealer in Truths,Hyperspace,Rare,309,
Lom Pyke - Dealer in Truths,Foil,Rare,032/262,
Lom Pyke - Dealer in Truths,Hyperspace Foil,Rare,309,
Synara San - Loyal to Kragan,Normal,Uncommon,033/262,
Synara San - Loyal to Kragan,Hyperspace,Uncommon,310,
