Select all table rows,Image,Product Name,Printing,Condition,Rarity,Number,Market Price,"Add to CartWe’re dedicated to helping you save both time and money by finding you the lowest prices around, with priority given to Direct."
Select table row 1,,4-LOM - Bounty Hunter for Hire,Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,188/262,$0.22,Quantity:1123456789Add To Cart
Select table row 2,,4-LOM - Bounty Hunter for Hire (Hyperspace),Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,457,$2.19,Quantity:1123456789Add To Cart
Select table row 3,,A New Adventure,Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,207/262,$0.11,Quantity:1123456789Add To Cart
Select table row 4,,A New Adventure (Hyperspace),Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,475,$0.78,Quantity:1123456789Add To Cart
Select table row 5,,Adelphi Patrol Wing,Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Common,101/262,$0.06,Quantity:1123456789Add To Cart
Select table row 6,,Adelphi Patrol Wing (Hyperspace),Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Common,370,$0.34,Quantity:1123456789Add To Cart
Select table row 7,,Altering the Deal,Printing:NormalFoilNormal,Condition:Near MintNear MintLightly PlayedModerately Played,Rare,243/262,$0.17,Quantity:1123456789Add To Cart
Select table row 8,,Altering the Deal (Hyperspace),Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Rare,506,$1.12,Quantity:1123456789Add To Cart
Select table row 9,,Armed to the Teeth,Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,175/262,$0.15,Quantity:1123456789Add To Cart
Select table row 10,,Armed to the Teeth (Hyperspace),Printing:NormalFoilNormal,Condition:Near MintNear MintLightly Played,Uncommon,444,$1.76,Quantity:1123456789Add To Cart
