Name,Type,Rarity,Number,Quantity
Nala Se - Clone Engineer,Normal,Rare,001/257,
Nala Se - Clone Engineer,Hyperspace,Rare,276,
Nala Se - Clone Engineer,Showcase,Rare,258,
Nute Gunray - Vindictive Viceroy,Normal,Common,002/257,
Nute Gunray - Vindictive Viceroy,Hyperspace,Common,277,
Nute Gunray - Vindictive Viceroy,Showcase,Common,259,
Obi-Wan Kenobi - Patient Mentor,Normal,Common,003/257,
Obi-Wan Kenobi - Patient Mentor,Hyperspace,Common,278,
Obi-Wan Kenobi - Patient Mentor,Showcase,Common,260,
Yoda - Sensing Darkness,Normal,Rare,004/257,
Yoda - Sensing Darkness,Hyperspace,Rare,279,
Yoda - Sensing Darkness,Showcase,Rare,261,
Count Dooku - Face of the Confederacy,Normal,Common,005/257,
Count Dooku - Face of the Confederacy,Hyperspace,Common,280,
Count Dooku - Face of the Confederacy,Showcase,Common,262,
Wat Tambor - Techno Union Foreman,Normal,Rare,006/257,
Wat Tambor - Techno Union Foreman,Hyperspace,Rare,281,
Wat Tambor - Techno Union Foreman,Showcase,Rare,263,
Captain Rex - Fighting For His Brothers,Normal,Rare,007/257,
Captain Rex - Fighting For His Brothers,Hyperspace,Rare,282,
Captain Rex - Fighting For His Brothers,Showcase,Rare,264,
Padme Amidala - Serving the Republic,Normal,Common,008/257,
Padme Amidala - Serving the Republic,Hyperspace,Common,283,
Padme Amidala - Serving the Republic,Showcase,Common,265,
Maul - A Rival in Darkness,Normal,Common,009/257,
Maul - A Rival in Darkness,Hyperspace,Common,284,
Maul - A Rival in Darkness,Showcase,Common,266,
Pre Vizsla - Pursuing the Throne,Normal,Rare,010/257,
Pre Vizsla - Pursuing the Throne,Hyperspace,Rare,285,
Pre Vizsla - Pursuing the Throne,Showcase,Rare,267,
Ahsoka Tano - Snips,Normal,Special,011/257,
Ahsoka Tano - Snips,Showcase,Special,268,
Anakin Skywalker - What it Takes to Win,Normal,Common,012/257,
Anakin Skywalker - What it Takes to Win,Hyperspace,Common,287,
Anakin Skywalker - What it Takes to Win,Showcase,Common,269,
Mace Windu - Vaapad Form Master,Normal,Rare,013/257,
Mace Windu - Vaapad Form Master,Hyperspace,Rare,288,
